doc_id,file_path,title,source_url,retrieved_at,document_version,license_or_permission
shopee-guarantee,data/shopee_policy/shopee-guarantee.md,Shopee Đảm Bảo,https://help.shopee.vn/portal/4/article/79314-%5BMua-s%E1%BA%AFm-an-to%C3%A0n%5D-Shopee-%C4%90%E1%BA%A3m-B%E1%BA%A3o-l%C3%A0-g%C3%AC,2026-08-03,not-stated,public-page
shopee-listing-regulations,data/shopee_policy/shopee-listing-regulations.md,Quy định về đăng bán sản phẩm,https://help.shopee.vn/portal/4/article/77246,2026-08-03,not-stated,public-page
shopee-mall-terms,data/shopee_policy/shopee-mall-terms.md,Điều khoản dịch vụ Shopee Mall,https://help.shopee.vn/portal/4/article/77262,2026-08-03,not-stated,public-page
shopee-return-refund-policy,data/shopee_policy/shopee-return-refund-policy.md,Chính sách trả hàng và hoàn tiền,https://help.shopee.vn/portal/4/article/77251?seo=1,2026-08-03,not-stated,public-page
shopee-return-shipping,data/shopee_policy/shopee-return-shipping.md,Phương thức gửi hàng hoàn trả và phí hoàn trả,https://help.shopee.vn/portal/4/article/189477-%5BTr%E1%BA%A3-h%C3%A0ng/-Ho%C3%A0n-ti%E1%BB%81n%5D-C%C3%A1c-ph%C6%B0%C6%A1ng-th%E1%BB%A9c-g%E1%BB%ADi-h%C3%A0ng-ho%C3%A0n-tr%E1%BA%A3-v%C3%A0-ph%C3%AD-ho%C3%A0n-tr%E1%BA%A3,2026-08-03,not-stated,public-page
shopee-terms-of-service,data/shopee_policy/shopee-terms-of-service.md,Điều khoản dịch vụ,https://help.shopee.vn/portal/4/article/77243,2026-08-03,not-stated,public-page
