url,doc_id,title,customer_role,category,language,region,document_version,license_or_permission
https://help.shopee.vn/portal/4/article/77246,shopee-seller-listing-rules,Quy định đăng bán sản phẩm trên Shopee,seller,listing,vi,VN,2024-08-14,public-page-robots-allowed
https://help.shopee.vn/portal/4/article/77250,shopee-shipping-policy,Chính sách vận chuyển Shopee,both,shipping,vi,VN,2026-03-20,public-page-robots-allowed
https://help.shopee.vn/portal/4/article/77251,shopee-return-refund-policy,Chính sách trả hàng và hoàn tiền Shopee,both,returns,vi,VN,2026-03-04,public-page-robots-allowed
https://help.shopee.vn/portal/4/article/79198-,shopee-payment-methods,Shopee hiện đang có những phương thức thanh toán nào?,buyer,payment,vi,VN,not-stated,public-page-robots-allowed
https://help.shopee.vn/portal/4/article/79233,shopee-return-refund-request-guide,Hướng dẫn gửi yêu cầu Trả hàng/Hoàn tiền,buyer,returns-support,vi,VN,not-stated,public-page-robots-allowed
https://help.shopee.vn/portal/4/article/79569,shopee-delivery-process,Cách đơn vị vận chuyển giao hàng cho Người mua,buyer,delivery-support,vi,VN,not-stated,public-page-robots-allowed
